source_controller,annotation_original,uso_nos_clusters,funcionalidade,apisix_plugin,apisix_config,suporte,observacoes,valores_encontrados
kong,ingress.kubernetes.io/service-upstream,315,Usa o ClusterIP do Service em vez dos IPs dos pods,configuração do upstream,Upstream apontando para ClusterIP — comportamento padrão no APISIX via Ingress Controller,Completo,O APISIX Ingress Controller usa service discovery; este comportamento é o padrão.,false | true
nginx,nginx.ingress.kubernetes.io/force-ssl-redirect,244,Força redirecionamento para HTTPS mesmo com X-Forwarded-Proto,redirect,plugin redirect: http_to_https: true,Completo,,false | true
nginx,nginx.ingress.kubernetes.io/whitelist-source-range,173,CIDRs permitidos (whitelist de IP),ip-restriction,plugin ip-restriction: whitelist,Completo,,"0.0.0.0/0 | 0.0.0.0/0, 179.108.123.80/28, 45.235.52.24/29, 189.28.39.112 | 0.0.0.0/0,179.108.123.80/28,45.235.52.24/29,189.28.39.112/29 | 0.0.0.0/0,::/0 | 10.0.0.0/8"
kong,konghq.com/strip-path,151,Remove o path do Ingress antes de encaminhar ao upstream,proxy-rewrite,plugin proxy-rewrite: regex_uri para remover prefixo do path,Completo,true = remove o path; false = mantém. Equivalente a rewrite-target no NGINX.,false | true
kong,konghq.com/preserve-host,146,Preserva o header Host original na requisição ao upstream,proxy-rewrite,plugin proxy-rewrite: headers.host = $http_host,Completo,,false | true
kong,konghq.com/protocols,144,"Protocolos aceitos pela rota: http, https, grpc, grpcs",configuração da rota APISIX,"Route: protocols array (http, https, grpc, grpcs)",Completo,APISIX suporta os mesmos protocolos nativamente.,"grpc | http | http,https"
kong,konghq.com/connect-timeout,141,Timeout de conexão com o upstream (ms),configuração do upstream,upstream: connect_timeout (converte ms → segundos),Completo,Kong usa milissegundos; APISIX usa milissegundos também.,600000
kong,konghq.com/https-redirect-status-code,141,Status code do redirect HTTP → HTTPS (301 ou 426),redirect,"plugin redirect: http_to_https: true, ret_code: 301|302",Completo,APISIX não suporta 426 nativo; usar 301 ou 302.,301 | 426
kong,konghq.com/path-handling,141,Como o path é composto ao encaminhar (v0 ou v1),proxy-rewrite,plugin proxy-rewrite: uri para controlar composição do path,Parcial - requer ajuste,v0 e v1 diferem em como concatenam path da rota + path da requisição. Requer análise por caso.,v0
kong,konghq.com/read-timeout,141,Timeout de leitura da resposta do upstream (ms),configuração do upstream,upstream: read_timeout,Completo,,600000
kong,konghq.com/retries,141,Número de tentativas em caso de falha no upstream,configuração do upstream,upstream: retries,Completo,,0 | 5
kong,konghq.com/write-timeout,141,Timeout de envio da requisição ao upstream (ms),configuração do upstream,upstream: send_timeout,Completo,,600000
kong,konghq.com/request-buffering,139,Habilita/desabilita buffer do body da requisição,client-control,Configuração de buffer via nginx variables,Parcial - requer ajuste,Relevante para uploads grandes. APISIX herda comportamento do nginx.,false | true
kong,konghq.com/response-buffering,139,Habilita/desabilita buffer da resposta do upstream,configuração do upstream,Configuração de proxy_buffering via nginx variables,Parcial - requer ajuste,Relevante para streaming. APISIX herda comportamento do nginx.,false | true
nginx,nginx.ingress.kubernetes.io/ssl-redirect,134,Redireciona HTTP para HTTPS,redirect,plugin redirect: http_to_https: true,Completo,,false | true
kong,konghq.com/regex-priority,123,Prioridade da rota quando múltiplas rotas usam regex,configuração da rota APISIX,Route: priority (inteiro — maior valor = maior prioridade),Completo,APISIX tem campo priority nativo nas rotas.,0 | 10 | 100
kong,konghq.com/tags,120,Tags para organização/filtragem de rotas no Kong,labels na rota APISIX,Route: labels (key-value map),Completo,APISIX usa labels em vez de tags.,grpc | http
nginx,nginx.ingress.kubernetes.io/proxy-body-size,72,Tamanho máximo do body da requisição,client-control,ApisixPluginConfig com plugin client-control: max_body_size (valor em bytes),Parcial - requer ajuste,Não há annotation equivalente no APISIX IC. Requer criação de ApisixPluginConfig por ingress. Valor precisa conversão: Nm → N*1048576 bytes; '0' = ilimitado.,100m | 10M | 125m | 128m | 16m
nginx,nginx.ingress.kubernetes.io/proxy-read-timeout,50,Timeout de leitura do backend,configuração do upstream,upstream: read_timeout,Completo,Configurar no objeto Upstream do APISIX.,15600 | 1800 | 300 | 3600 | 60
nginx,nginx.ingress.kubernetes.io/proxy-send-timeout,50,Timeout de envio para o backend,configuração do upstream,upstream: send_timeout,Completo,,15600 | 1800 | 300 | 3600 | 60
nginx,nginx.ingress.kubernetes.io/backend-protocol,46,"Protocolo do backend: HTTP, HTTPS, GRPC, GRPCS, AJP, FCGI",grpc-transcode / configuração do upstream,Upstream scheme: http|https|grpc|grpcs,Completo,GRPC requer plugin grpc-transcode ou rota gRPC nativa.,GRPC | HTTP | HTTPS
nginx,nginx.ingress.kubernetes.io/proxy-connect-timeout,37,Timeout de conexão com o backend,configuração do upstream,upstream: connect_timeout,Completo,,15600 | 30 | 300 | 60 | 600
nginx,nginx.ingress.kubernetes.io/upstream-vhost,32,Define o header Host enviado ao upstream (sobrescreve o host original),proxy-rewrite,plugin proxy-rewrite: headers.host: <valor>,Completo,"Usado para backends S3, serviços internos ou proxies que exigem Host específico.",model-app-svc.rdsm.svc.cluster.local | plugcrm-assets.s3.amazonaws.com | rdstation-nuvemshop.albato-embedded.net | rdstation-nuvemshop.albato.net | rdstation-pipedrive.albato-embedded.net
nginx,nginx.ingress.kubernetes.io/custom-http-errors,31,Redireciona erros HTTP para URL de erro customizada,response-rewrite / serverless,plugin serverless-post-function para interceptar status codes,Manual - análise caso a caso,Não há equivalente direto; requer lógica Lua.," | 404, 412, 413, 500, 501, 502, 503, 504 | 404,500,502,503 | 418 | 500"
nginx,nginx.ingress.kubernetes.io/server-snippet,29,Bloco de configuração NGINX customizado no server block,serverless-pre-function,plugin serverless-pre-function com código Lua,Manual - análise caso a caso,Requer análise caso a caso.,"# Favicon fix location = /favicon.ico {   access_log off;    | add_header X-Robots-Tag ""noindex, nofollow""; | keepalive_timeout 75; client_header_timeout 75;  sendfile on | keepalive_timeout 75; client_header_timeout 75;  sendfile on | keepalive_timeout 75; client_header_timeout 75;  sendfile on"
nginx,nginx.ingress.kubernetes.io/service-upstream,23,Usa o ClusterIP do Service em vez de IPs dos pods,configuração do upstream,Upstream apontando para ClusterIP do Service,Completo,"No APISIX via Ingress controller, o discovery cuida disso.",true
nginx,nginx.ingress.kubernetes.io/configuration-snippet,20,Bloco de configuração NGINX customizado por location,serverless-pre-function / serverless-post-function,plugin serverless-pre-function com código Lua,Manual - análise caso a caso,Requer análise caso a caso. Cada snippet deve ser convertido manualmente para Lua ou plugin equivalente.,"add_header Content-Security-Policy ""frame-ancestors 'self' h | auth_request_set $name_upstream_1 $upstream_cookie__oauth2_p | if ($request_uri ~* ""^/api/v2"") {   return 401; }  location  | location /api/v1/credentials {   return 403; }  | more_clear_headers 'Content-Security-Policy'; more_clear_hea"
kong,konghq.com/plugins,16,Lista de KongPlugin resources a aplicar nesta rota,plugins na rota APISIX,Route: plugins array ou ApisixPluginConfig,Manual - análise caso a caso,Cada KongPlugin referenciado deve ser analisado individualmente e convertido para o plugin APISIX equivalente.,"rate-limiting | rate-limiting-resource-name,response-transformer-resource-na | ratelimit-hydra-api-consumer | redirect-academy-api | redirect-docs-v2"
nginx,nginx.ingress.kubernetes.io/enable-cors,14,Habilita CORS,cors,plugin cors,Completo,,true
nginx,nginx.ingress.kubernetes.io/rewrite-target,12,Reescreve o path antes de encaminhar ao backend,proxy-rewrite,plugin proxy-rewrite: regex_uri ou uri,Completo,"APISIX usa regex_uri: ['regex', 'replacement']. Sintaxe diferente do $1/$2 do NGINX.",/ | /$1 | /$2 | /dialer/index.html
nginx,nginx.ingress.kubernetes.io/use-regex,12,Habilita regex no path do Ingress,proxy-rewrite,Rota APISIX suporta regex nativamente no campo 'uri',Completo,APISIX suporta regex nas rotas por padrão.,true
nginx,nginx.ingress.kubernetes.io/proxy-buffering,9,Habilita ou desabilita o buffer de resposta do upstream (on/off),sem equivalente direto,Configurar via nginx variables no APISIX se necessário,Sem suporte nativo,Relevante para streaming. APISIX herda comportamento padrão do nginx (on). Avaliar se o serviço precisa de streaming antes de migrar.,off | on
nginx,nginx.ingress.kubernetes.io/auth-signin,7,URL de redirecionamento quando autenticação falha,forward-auth,plugin forward-auth: request_headers + resposta 401,Parcial - requer ajuste,APISIX forward-auth não redireciona automaticamente; requer lógica adicional.,https://$host/oauth2/start?rd=$request_uri | https://backstage.production.rdops.systems/oauth2/start?rd=$ | https://backstage.staging.rdops.systems/oauth2/start?rd=$esc | https://crm-staging.rdstation.com/oauth2/start?rd=$escaped_r | https://crm.rdstation.com/oauth2/start?rd=$escaped_request_u
nginx,nginx.ingress.kubernetes.io/auth-url,7,URL externa para autenticação (auth_request),forward-auth,plugin forward-auth: uri,Completo,,http://backstage-oauth.devexp.svc.cluster.local:4180/oauth2/ | http://sidekiq-okta-oauth.crm.svc.cluster.local:4180/oauth2/ | https://$host/oauth2/auth
nginx,nginx.ingress.kubernetes.io/cors-allow-headers,7,Headers permitidos para CORS,cors,plugin cors: allow_headers,Completo,,"Content-Type, Authorization, X-API-Key | DNT,Keep-Alive,User-Agent,X-Requested-With,If-Modified-Since"
nginx,nginx.ingress.kubernetes.io/cors-allow-origin,6,Origins permitidas para CORS,cors,plugin cors: allow_origins,Completo,,"* | https://devcenter-stg.rdstation.com.br,https://devcenter.rds | https://devcenter.rdstation.com.br"
nginx,nginx.ingress.kubernetes.io/auth-realm,6,Realm exibido no popup de autenticação básica do browser,basic-auth,plugin basic-auth: config.realm: <valor>,Completo,APISIX 3.14.1 suporta o campo realm nativamente no plugin basic-auth (default: 'basic'). Migração direta.,Authentication Required | Authentication Required - ipconfig
nginx,nginx.ingress.kubernetes.io/auth-secret,6,Secret com credenciais de autenticação básica,basic-auth,Consumer com plugin basic-auth,Completo,Credenciais devem ser migradas para Consumers no APISIX.,ipconfig-basic-auth | synthetics-basic-auth | token-secret-tallos | token-secret-tallos-v000
nginx,nginx.ingress.kubernetes.io/auth-type,6,Tipo de autenticação: basic ou digest,basic-auth,plugin basic-auth,Completo,digest-auth não tem plugin nativo no APISIX; basic-auth sim.,basic
nginx,nginx.ingress.kubernetes.io/send_timeout,6,Timeout de envio para o cliente (nota: underscore em vez de hífen — possível typo no cluster),configuração do upstream,upstream: send_timeout,Completo,Annotation com underscore provavelmente não tem efeito no NGINX. Verificar se é typo de proxy-send-timeout.,15600
kong,ingress.kubernetes.io/backends,6,Metadado do GKE Load Balancer — backends registrados automaticamente pelo Google,não aplicável,não aplicável,Sem suporte nativo,Annotation gerada automaticamente pelo GKE. Não tem função de roteamento e não precisa ser migrada.,"{""k8s-be-30858--35f586de03831870"":""Unknown"",""k8s1-35f586de-e | {""k8s-be-31217--08b5fd8ec5d689fb"":""HEALTHY"",""k8s-be-32333--0 | {""k8s-be-31850--f5d3b5065c8ba841"":""HEALTHY"",""k8s-be-32333--f | {""k8s-be-31914--0b06ba8d05326855"":""HEALTHY"",""k8s-be-32333--0 | {""k8s-be-31914--0b06ba8d05326855"":""HEALTHY"",""k8s1-0b06ba8d-m"
kong,ingress.kubernetes.io/forwarding-rule,6,Metadado do GKE Load Balancer — forwarding rule do Google Cloud,não aplicável,não aplicável,Sem suporte nativo,Annotation gerada automaticamente pelo GKE. Não precisa ser migrada.,k8s-fw-kong-api-gateway--0b06ba8d05326855 | k8s2-fr-3583siai-kong-api-gateway-8tt4frcg | k8s2-fr-cbdlf969-kong-api-gateway-5dmshybw | k8s2-fr-n3ea0enz-elasticsearch-kibana-es-cm-ent-01-ncz21ljj | k8s2-fr-n8kcj5wd-elasticsearch-kibana-80dkhd60
kong,ingress.kubernetes.io/https-forwarding-rule,6,Metadado do GKE Load Balancer — forwarding rule HTTPS do Google Cloud,não aplicável,não aplicável,Sem suporte nativo,Annotation gerada automaticamente pelo GKE. Não precisa ser migrada.,k8s-fws-kong-api-gateway--0b06ba8d05326855 | k8s2-fs-3583siai-kong-api-gateway-8tt4frcg | k8s2-fs-cbdlf969-kong-api-gateway-5dmshybw | k8s2-fs-n3ea0enz-elasticsearch-kibana-es-cm-ent-01-ncz21ljj | k8s2-fs-n8kcj5wd-elasticsearch-kibana-80dkhd60
kong,ingress.kubernetes.io/https-target-proxy,6,Metadado do GKE Load Balancer — HTTPS target proxy do Google Cloud,não aplicável,não aplicável,Sem suporte nativo,Annotation gerada automaticamente pelo GKE. Não precisa ser migrada.,k8s-tps-kong-api-gateway--0b06ba8d05326855 | k8s2-ts-3583siai-kong-api-gateway-8tt4frcg | k8s2-ts-cbdlf969-kong-api-gateway-5dmshybw | k8s2-ts-n3ea0enz-elasticsearch-kibana-es-cm-ent-01-ncz21ljj | k8s2-ts-n8kcj5wd-elasticsearch-kibana-80dkhd60
kong,ingress.kubernetes.io/ssl-cert,6,Metadado do GKE Load Balancer — certificado SSL gerenciado pelo Google,não aplicável,não aplicável,Sem suporte nativo,Annotation gerada automaticamente pelo GKE. TLS no APISIX é configurado via Secret do Kubernetes.,"k8s-ssl-fb53af87bd7b6e14-366fb88e5011671d--0b06ba8d05326855, | k8s2-cr-3583siai-23nubgj20ph16vc6-b7e53ef05ff5d89e,k8s2-cr-3 | k8s2-cr-cbdlf969-bqyn93j5xtp6h6b6-33647a9635c68148,k8s2-cr-c | k8s2-cr-n3ea0enz-918r9bbyu50xg58p-76a3e4c887e005f9 | k8s2-cr-n8kcj5wd-9d6ej76v603lpivh-6ac28f49523a7a5e"
kong,ingress.kubernetes.io/static-ip,6,Metadado do GKE Load Balancer — IP estático reservado no Google Cloud,não aplicável,não aplicável,Sem suporte nativo,Annotation gerada automaticamente pelo GKE. IP do APISIX é gerenciado pelo Service do tipo LoadBalancer.,k8s-fw-kong-api-gateway--0b06ba8d05326855 | k8s2-fr-3583siai-kong-api-gateway-8tt4frcg | k8s2-fr-cbdlf969-kong-api-gateway-5dmshybw | k8s2-fr-n3ea0enz-elasticsearch-kibana-es-cm-ent-01-ncz21ljj | k8s2-fr-n8kcj5wd-elasticsearch-kibana-80dkhd60
kong,ingress.kubernetes.io/target-proxy,6,Metadado do GKE Load Balancer — HTTP target proxy do Google Cloud,não aplicável,não aplicável,Sem suporte nativo,Annotation gerada automaticamente pelo GKE. Não precisa ser migrada.,k8s-tp-kong-api-gateway--0b06ba8d05326855 | k8s2-tp-3583siai-kong-api-gateway-8tt4frcg | k8s2-tp-cbdlf969-kong-api-gateway-5dmshybw | k8s2-tp-n3ea0enz-elasticsearch-kibana-es-cm-ent-01-ncz21ljj | k8s2-tp-n8kcj5wd-elasticsearch-kibana-80dkhd60
kong,ingress.kubernetes.io/url-map,6,Metadado do GKE Load Balancer — URL map do Google Cloud,não aplicável,não aplicável,Sem suporte nativo,Annotation gerada automaticamente pelo GKE. Não precisa ser migrada.,k8s-um-kong-api-gateway--0b06ba8d05326855 | k8s2-um-3583siai-kong-api-gateway-8tt4frcg | k8s2-um-cbdlf969-kong-api-gateway-5dmshybw | k8s2-um-n3ea0enz-elasticsearch-kibana-es-cm-ent-01-ncz21ljj | k8s2-um-n8kcj5wd-elasticsearch-kibana-80dkhd60
kong,konghq.com/grpc,6,Habilita suporte a gRPC nesta rota,configuração da rota APISIX,"Route: protocols: [grpc, grpcs]",Completo,,true
nginx,nginx.ingress.kubernetes.io/proxy-buffer-size,5,Tamanho do buffer de proxy,não mapeado diretamente,Configurar via nginx.conf customizado (se necessário),Sem suporte nativo,APISIX não expõe proxy_buffer_size como plugin; geralmente não necessário.,2048k
nginx,nginx.ingress.kubernetes.io/proxy-buffers-number,5,Número de buffers usados para leitura da resposta do upstream,sem equivalente direto,Não exposto como plugin; usar configuração nginx customizada se crítico,Sem suporte nativo,Tunning de baixo nível. Na maioria dos casos o padrão do APISIX é suficiente.,32
nginx,nginx.ingress.kubernetes.io/proxy-next-upstream-tries,5,Número máximo de tentativas ao próximo upstream em caso de falha,configuração do upstream,upstream: retries: <valor>,Completo,,8
nginx,nginx.ingress.kubernetes.io/proxy-max-temp-file-size,4,Tamanho máximo do arquivo temporário quando o buffer está cheio,sem equivalente direto,Não exposto como plugin,Sem suporte nativo,Tunning de baixo nível. Avaliar se é realmente necessário.,2048m
nginx,nginx.ingress.kubernetes.io/cors-allow-credentials,4,Permite credentials em CORS,cors,plugin cors: allow_credential: true,Completo,,true
kong,ingress.kubernetes.io/rewrite-target,4,Reescreve o path antes de encaminhar ao upstream,proxy-rewrite,plugin proxy-rewrite: regex_uri ou uri,Completo,Equivalente ao nginx.ingress.kubernetes.io/rewrite-target.,/ | /$1
kong,ingress.kubernetes.io/whitelist-source-range,4,CIDRs permitidos (whitelist de IP),ip-restriction,plugin ip-restriction: whitelist,Completo,Equivalente ao nginx.ingress.kubernetes.io/whitelist-source-range.,10.0.0.0/8
nginx,nginx.ingress.kubernetes.io/ssl-protocols,3,Protocolos TLS aceitos (ex: TLSv1.2 TLSv1.3),configuração global de SSL do APISIX,apisix.ssl.ssl_protocols no config.yaml do APISIX,Parcial - requer ajuste,"Não é configurável por rota no APISIX — é configuração global. Verificar se o padrão (TLSv1.2, TLSv1.3) atende.",TLSv1.2 TLSv1.3
nginx,nginx.ingress.kubernetes.io/limit-rpm,3,Limita requisições por minuto por IP,limit-count,"plugin limit-count: count, time_window: 60, key: remote_addr",Completo,,1000 | 5
kong,ingress.kubernetes.io/use-regex,3,Habilita regex no path do Ingress,configuração da rota APISIX,Rota APISIX suporta regex nativamente no campo uri,Completo,,true
nginx,nginx.ingress.kubernetes.io/keepalive,2,Número máximo de conexões keepalive ao upstream,configuração do upstream,upstream: keepalive: <valor>,Completo,,64
nginx,nginx.ingress.kubernetes.io/keepalive-timeout,2,Timeout das conexões keepalive ao upstream (segundos),configuração do upstream,upstream: keepalive_timeout: <valor>,Completo,,120
nginx,nginx.ingress.kubernetes.io/proxy-next-upstream,2,Condições para tentar próximo upstream,configuração do upstream (retries),"upstream: retries, retry_timeout",Parcial - requer ajuste,APISIX suporta retries mas não todas as condições do proxy_next_upstream.,error timeout invalid_header http_502 http_503 http_504
nginx,nginx.ingress.kubernetes.io/default-backend,2,Service de fallback quando nenhuma regra do ingress bate,configuração da rota APISIX,Criar rota catch-all com upstream apontando para o service de fallback,Manual - análise caso a caso,Criar uma rota separada no APISIX com prioridade baixa para capturar requisições não roteadas.,saas-internal
nginx,nginx.ingress.kubernetes.io/auth-response-headers,2,Headers retornados pelo auth service a serem repassados ao backend,forward-auth,plugin forward-auth: upstream_headers,Completo,,Authorization
nginx,nginx.ingress.kubernetes.io/cors-allow-methods,2,Métodos HTTP permitidos para CORS,cors,plugin cors: allow_methods,Completo,,"GET, POST, PUT, PATCH, DELETE, OPTIONS"
